EACC	Former PUA mapping	Character Name or Description 	Glyph 	Current mapping
27615F	E917	East Asian ideograph (duplicate simplified)	发	 53D1
276163	E918	East Asian ideograph (duplicate simplified)	松	 677E
276164	E919	East Asian ideograph (duplicate simplified)	胡	 80E1
276165	E91A	East Asian ideograph (duplicate simplified)	须	 987B
277258	E91B	East Asian ideograph (duplicate simplified)	恶	 6076
283B7D	E91C	East Asian ideograph (duplicate simplified)	台	 53F0
28702E	E91D	East Asian ideograph (duplicate simplified)	团	 56E2
287271	E91E	East Asian ideograph (duplicate simplified)	纤	 7EA4
287431	E91F	East Asian ideograph (duplicate simplified)	坛	 575B
292433	E920	East Asian ideograph (duplicate simplified)	芘	 8298
2D3C6D	E921	East Asian ideograph (duplicate simplified)	芘	 8298
393B78	E922	East Asian ideograph (duplicate simplified)	峄	 5CC4
4B5361	E923	East Asian ideograph (duplicate simplified)	角	 89D2
4B5C54	E924	East Asian ideograph (duplicate simplified)	辟	 8F9F
4B5E6C	E925	East Asian ideograph (duplicate simplified)	阝	 961D
217559 	EA00	East Asian ideograph 	𡋄 	212C4
217E5B	EA01	East Asian ideograph 	㝡	 3761
222A34	EA02	East Asian ideograph 	𢔛 	2251B
223339	EA03	East Asian ideograph 	𢱍 	22C4D
2D3165	EA04 	East Asian ideograph 	㒞	 349E
22667D	E9D0 	East Asian ideograph (unrelated variant of EACC 22667C) 	祓	 7953
226D37	E9D1 	East Asian ideograph (unrelated variant of EACC 3A6A7C) 	篪	 7BEA
2D5F73	E9D2 	East Asian ideograph (unrelated variant of EACC 234C76) 	靚	 975A
2F2A5A	E9D3 	East Asian ideograph (unrelated variant of EACC 23293D) 	蚋	 868B
2F3143	E9D4 	East Asian ideograph (unrelated variant of EACC 23315E) 	觵	 89F5
2F4231	E9D5 	East Asian ideograph (unrelated variant of EACC 215266) 	耙	 8019
2F585C	E9D6 	East Asian ideograph (unrelated variant of EACC 235945) 	鱑	 9C51
4C6775	E9D7 	East Asian ideograph (unrelated variant of EACC 293032) 	祢	 7962
273C67	E9D8	East Asian ideograph (Version J extension) 	干	 5E72
3F377B	E9D9	East Asian ideograph (Version J extension) 	硎	 784E
4B3C2B	E9C7	East Asian ideograph (Version J extension) 	柃	 67C3
4B4444	E9C8	East Asian ideograph (Version J extension) 	覈	 8988
6F7625	E8B1 	Korean hangul (ancient) 	ㆍ	 318D
6F773C	E8CB 	Korean hangul (unified with EACC 6F5658) 	윗	 C717

